"Mod ID","Mod name","Mod version"
"letsdocompat","[Let's Do Addon] Compat","2.2.4"
"libbamboo","LibBamboo","2.25"
"libgui","LibGui","8.1.1+1.20.1"
"libninepatch","LibNinePatch","1.2.0"
"lighty","Lighty","2.1.3+1.20.1"
"lilis_lucky_lures","Lilis' Lucky Lures","1.0.2"
"lily_pads_expansion","Lily Pads Expansion","1.0.0"
"litematica","Litematica","0.15.4"
"lithium","Lithium","0.11.4"
"lithostitched","Lithostitched","1.4.11"
"lne_wizards","L&E Wizards-Add On","0.1.11-1.20.1"
"lodestone","Lodestone","1.20.1-1.6.2.3f-fabric"
"logbegone","Log Begone","1.0.8"
"lootr","Lootr","0.7.35.86"
"loy_krathong","Loy Krathong","1.0.3"
"magnumtorch","Magnum Torch","8.0.2"
"malfu-mods","Better Combat Particle Addition","0.0.6-fabric-1.20.1"
"malilib","MaLiLib","0.16.3"
"mcwdoors","Macaw's Doors","1.1.5"
"mcwfences","Macaw's Fences and Walls","1.2.1"
"mcwlights","Macaw's Lights and Lamps","1.1.5"
"mcwpaths","Macaw's Paths and Pavings","1.1.1"
"mcwwindows","Macaw's Windows","2.4.2"
"meadow","[Let's Do] Meadow","1.3.25"
"midnightlib","MidnightLib","1.9.3"
"minecraft","Minecraft","1.20.1"
"mixinextras","MixinExtras","0.5.4"
"mixinsquared","MixinSquared","0.3.5-beta.2"
"mm","Manningham Mills","2.3"
"modernfix","ModernFix","5.25.2+mc1.20.1"
"modmenu","Mod Menu","7.2.2"
"moonlight","Moonlight","1.20-2.16.32"
"more_rpg_classes","More RPG Classes","1.2.19-1.20.1"
"moreculling","More Culling","1.20.1-0.24.5"
"moredelight","More Delight","26.5.7-1.20-fabric"
"moremobvariants","More Mob Variants","1.3.1"
"mr_bat_membrane","Bat Membrane (Anti Phantom)","1-v.1.1.1"
"mr_lithosphere","Lithosphere","1.7"
"mr_more_compatibilityvariantsletsdo","More Compatibility Variants [Let's Do]","1.0.3+1.20.1"
"mr_nifty_cartsxfarmandcharm","Nifty Carts x Farm & Charm","1.0"
"mr_no_endermangrief","No Enderman Grief","1-v.1.1.2"
"mr_still_life","Still Life","0.1.1"
"naturalist","Naturalist","5.0pre3"
"naturescompass","Nature's Compass","1.20.1-2.6.0-fabric"
"necronomicon","Necronomicon","1.4.2"
"net_harawata_appdirs","appdirs","1.2.1"
"net_jodah_typetools","typetools","0.6.3"
"net_minecraftforge_eventbus","eventbus","6.0.3"
"net_objecthunter_exp4j","exp4j","0.4.8"
"net_peanuuutz_tomlkt_tomlkt-jvm","tomlkt-jvm","0.3.7"
"nethervinery","[Let's Do] NetherVinery","1.2.19"
"niftycarts","NiftyCarts","20.1.5"
"noindium","No Indium?","1.1.0+1.20"
"notenoughanimations","NotEnoughAnimations","1.12.3"
"nullscape","Nullscape","1.2.7"
"nyfsspiders","Nyf's Spiders","2.1.1"
"org_anarres_jcpp","jcpp","1.4.14"
"org_antlr_antlr4-runtime","antlr4-runtime","4.13.1"
"org_javassist_javassist","javassist","3.29.2-GA"
"org_jetbrains_kotlin_kotlin-reflect","kotlin-reflect","2.3.21"
"org_jetbrains_kotlin_kotlin-stdlib","kotlin-stdlib","2.3.21"
"org_jetbrains_kotlin_kotlin-stdlib-jdk7","kotlin-stdlib-jdk7","2.3.21"
"org_jetbrains_kotlin_kotlin-stdlib-jdk8","kotlin-stdlib-jdk8","2.3.21"
"org_jetbrains_kotlinx_atomicfu-jvm","atomicfu-jvm","0.32.1"
"org_jetbrains_kotlinx_kotlinx-coroutines-core-jvm","kotlinx-coroutines-core-jvm","1.10.2"
"org_jetbrains_kotlinx_kotlinx-coroutines-jdk8","kotlinx-coroutines-jdk8","1.10.2"
"org_jetbrains_kotlinx_kotlinx-datetime-jvm","kotlinx-datetime-jvm","0.7.1"
"org_jetbrains_kotlinx_kotlinx-io-bytestring-jvm","kotlinx-io-bytestring-jvm","0.9.0"
"org_jetbrains_kotlinx_kotlinx-io-core-jvm","kotlinx-io-core-jvm","0.9.0"
"org_jetbrains_kotlinx_kotlinx-serialization-cbor-jvm","kotlinx-serialization-cbor-jvm","1.11.0"
"org_jetbrains_kotlinx_kotlinx-serialization-core-jvm","kotlinx-serialization-core-jvm","1.11.0"
"org_jetbrains_kotlinx_kotlinx-serialization-json-jvm","kotlinx-serialization-json-jvm","1.11.0"
"org_mariuszgromada_math_mathparser_org-mxparser","MathParser.org-mXparser","5.2.1"
"org_quiltmc_parsers_gson","gson","0.2.1"
